fossils,amounts seen
Titanis,601
Graptoloidea,590
Platyceras,586
Chert,585
Baculites,581
Calymene,578
Glycymeris,577
Archimedes,576
Sandstone,573
Pecopteris,573
Tiktaalik,569
Plesiosauria,569
Eldredgeops,568
Atrypa,566
Isotelus,564
Ankylosaurus,564
Parasaurolophus,562
Elrathia,562
Acer,561
Pentremites,560
Megacerops,560
Homo Erectus,560
Xiphactinus,559
Rhombopora,557
Cryptolithus,557
Juresania,556
Australopithecus,556
Spinosaurus,555
Shale,555
Dunkleosteus,555
Protoceratops,554
Rhynchonellida,552
Halysites,552
Platanus,551
Cypraea,551
Pecten,550
Dimetrodon,550
Bothriolepis,550
Coprolite,549
Coelophysis,549
Mammuthus Primigenius,548
Patagotitan,547
Mammut,547
Acanthostega,547
Ichthyosauria,546
Lystrosaurus,545
Homo Sapiens,545
Dracorex,545
Amber,544
Stegosaurus,543
Crustacea,543
Lepidodendron,542
Hexagonaria,542
Favosites,542
Eusthenopteron,541
Diplodocus,541
Diplocaulus,541
Velociraptor,539
Otodus,539
Dendroidea,539
Crocodilia,539
Metasequoia,538
Coqina,538
Astarte,538
Nummulites,537
Carcharocles Megalodon,537
Worthenia,536
Dilophosaurus,536
Turritella,535
Crinoidea,534
Conus,534
Rafinesquina,533
Homo Neanderthalensis,533
Brachiosaurus,533
Annularia,533
Tyrannosaurus,532
Ginkgo,532
Fossiliferous Limestone,532
Agnatha,532
Mucrospirifer,531
Knightia,531
Equus,531
Testudines,530
Nucula,528
Batoidea,528
Goniatitida,527
Basilosaurus,527
Dactylioceras,526
Astraeospongia,526
Heliophyllum,525
Gryphaea,525
Plateosaurus,524
Asteroidea,524
Platystrophia,523
Psaronius,521
Orthocerida,521
Hydnoceras,521
Populus,520
Triceratops,518
Septastrea,518
Ophiuroidea,518
Maiasaura,518
Calamites,518
Eurypterida,517
Nautilida,516
Leptaena,516
Fusulinida,516
Archaeopteryx,515
Latimeria,513
Ichthyornis,513
Exogyra,511
Mosasauridae,509
Echinoidea,507
Ceratitida,507
Pterosauria,506
Mesohippus,506
Chalk,505
Insecta,504
Glossopteris,504
Belemnitella,502
Smilodon,501
Petrified Wood,501
Iguanodon,499
Eryops,498
Stromatolite,496
Allosaurus,491
Lingula,490
Composita,480
