username#discrim,current streak,max streak
Checky#7917,210,210
Linear#8272,26,1558
RangotheMango#3526,16,27
karanbe#2332,15,23
ansere#6930,15,191
Moonhaze#5848,12,70
bkxsun#9433,12,21
AstroTR#6142,12,446
mindy#0359,11,99
Scott Maurer#3588,11,19
Cave Iguana#0637,10,61
a_hobbit#9182,10,58
anonymousqwerty#7855,9,20
NOOB#4694,8,33
EwwPhysics#3484,8,70
flowercity#7395,8,42
KChan35#0190,8,35
hmmm#5658,8,15
Mark Rober#7094,7,9
Dinoboneshunter#5215,7,28
bork#5090,6,36
n3bu141#5564,6,44
Celly#5955,6,7
Jahnavi#4535,5,5
yo_izzglo#4332,5,37
OrganFailure#9269,5,37
chibes casls#6499,5,38
User Unavailable,5,5
billybob#5778,5,15
kmninaun#5618,4,16
tomatonushnush#0648,4,10
Flex Tape#4030,4,4
Aaronk-47#2884,4,13
Rebecca#8925,4,35
nosbeilacceber#2619,4,34
User Unavailable,4,4
๖̶̶̶ζ͜͡xacry.lik#0021,4,16
Bacon#6576,4,64
Leminspector#2100,4,60
Freskid#5532,4,11
notdaniel#1549,3,17
harika#3836,3,175
User Unavailable,3,19
sunz#7219,3,3
AvianTrumpet#3434,3,15
logang#6507,3,43
Mick#6666,3,17
noahjb#1247,3,7
User Unavailable,3,5
Sahil#7317,3,10
Jerm The Worm#6050,3,7
User Unavailable,2,8
StuffyNose45#5656,2,11
Clammy#2247,2,5
Dead Fish#0650,2,16
rupa#3551,2,9
anna#4760,2,33
Dakstar7#5050,2,8
claiiirrreee#5721,2,17
OhMyMistake#0987,2,13
NhanT#9483,2,4
Stevepib#6338,2,2
Felix Zhan#8215,2,41
hippo9#8645,2,3
LeoLion989#2837,2,7
obsequiousLemur#7060,2,9
User Unavailable,2,2
User Unavailable,1,1
ck123#2084,1,33
galle#2660,1,40
"reninkidney [CA-N, B]#0173",1,16
Nik#5017,1,21
twig#4682,1,602
twatle#9180,1,9
nameless#5565,1,38
Raghav Sriram#2596,1,2
drdolittleandthecat#0753,1,43
whalesc#9909,1,9
sundropoftwo#9444,1,3
MichaelK#8428,1,9
LaitRider#1862,1,1
american woodglock#8685,1,4
adityaroy04#8056,1,21
DA BOSS#8663,1,1
User Unavailable,1,1
LaFlax#3885,1,7
Senna#6399,1,14
Joey C#0756,1,1
head&zzmages#2829,1,11
Meash#3016,1,1
Sharvari#3341,1,4
Typhoon3o#7734,1,2
Luke Kidd#2357,1,26
User Unavailable,1,4
g͂̇̚r̓̑̏aͥ͊ͨs̿͂̓s̈ͫͧ҉̧̡́ ̒ͯ̓҉̮̕͜#1511,1,12
Artemis#2465,1,1
steggie#6112,1,4
marfffff#4788,1,6
AVDestroyer#6398,1,30
MystaryPi#1031,1,1
da reading nerd#0710,1,1
jlam999#6300,1,33
Minnow#6013,1,1
Pravitia#4093,1,1
ha! koshu#5571,1,8
fireventis#6339,1,104
reverse#7326,1,8
itsDerk#6808,1,1
altaria#5989,0,0
mork#7670,0,0
User Unavailable,0,0
anniethemop#4319,0,2
tojika-kun#2813,0,3
A.J.#3016,0,3
ztami2110#7988,0,1
lemon#7880,0,8
datsmybook#5431,0,0
karina#2986,0,5
kingdubreasy#9790,0,0
∫Pranav dm#6969,0,1
Oompa#4286,0,17
Himmad boi#7561,0,6
babytofu#9030,0,5
"ken2005 [HI, C]#5622",0,36
NotATrap#4732,0,4
OP#2261,0,14
Snowy_plover#7019,0,0
UsernameUnknown#7860,0,3
User Unavailable,0,0
Yash#3208,0,0
saum#2608,0,0
Khanos#5053,0,0
thegpbindini#1904,0,0
rarwin#0362,0,1
potato1234#6085,0,0
lilyanne#9704,0,44
kman1234t#0021,0,1
Coach Fiorina#4576,0,0
Kevin_Z#0605,0,0
HidekoPyon#8411,0,4
wanavar#5487,0,0
eatablecheif21#8863,0,0
swablu#7132,0,5
Nick Smirnov#9799,0,0
kay78#1442,0,0
amk578#3425,0,0
andre..uh#9995,0,2
toaster#6164,0,1
potato_kat#7984,0,0
BLACKsanta🎅🏿#8960,0,0
yoshi#3415,0,1
arushi#5873,0,0
Soba-Boba#1796,0,0
harrumph#6618,0,1
Vishnu Indukuri#6769,0,43
VardhitV#9682,0,0
AnonymousPerson#0996,0,0
confused ostrich#8808,0,0
RoboLust#1525,0,0
User Unavailable,0,0
alexhuang.gelinas#9015,0,0
Moxhi#2438,0,11
YoYoMa#6924,0,0
car#6429,0,0
ཧཇོཏརསབ#2478,0,0
AboutThat#2091,0,5
TwoCheese#6565,0,0
BlackHeart#2379,0,12
Emilio Sanchez#0154,0,3
sareneee#1677,0,0
DTT#8950,0,8
Kaela#3493,0,1
