fossils,amounts seen
Graptoloidea,3042
Atrypa,3022
Septastrea,2979
Cryptolithus,2973
Coelophysis,2958
Mucrospirifer,2957
Composita,2942
Astarte,2941
Rafinesquina,2938
Pecten,2938
Astraeospongia,2938
Crustacea,2932
Coprolite,2932
Halysites,2926
Turritella,2920
Leptaena,2919
Fusulinida,2918
Conus,2913
Hydnoceras,2912
Cypraea,2908
Populus,2907
Homo Erectus,2901
Triceratops,2899
Tyrannosaurus,2897
Psaronius,2897
Ophiuroidea,2896
Diplocaulus,2896
Goniatitida,2895
Eryops,2895
Dendroidea,2895
Parasaurolophus,2894
Orthocerida,2894
Nummulites,2894
Elrathia,2893
Eusthenopteron,2892
Protoceratops,2891
Stegosaurus,2889
Agnatha,2889
Dracorex,2888
Dimetrodon,2888
Hexagonaria,2885
Smilodon,2883
Platystrophia,2882
Plateosaurus,2881
Mesohippus,2879
Annularia,2879
Nucula,2878
Spinosaurus,2877
Crinoidea,2877
Baculites,2877
Allosaurus,2877
Rhynchonellida,2876
Exogyra,2876
Velociraptor,2875
Amber,2870
Platyceras,2864
Glossopteris,2864
Petrified Wood,2863
Calamites,2862
Australopithecus,2861
Homo Neanderthalensis,2858
Ceratitida,2858
Pterosauria,2857
Asteroidea,2855
Heliophyllum,2853
Iguanodon,2851
Worthenia,2849
Gryphaea,2846
Fossiliferous Limestone,2844
Belemnitella,2844
Stromatolite,2843
Carcharocles Megalodon,2843
Dactylioceras,2842
Eurypterida,2841
Calymene,2841
Nautilida,2840
Insecta,2839
Titanis,2834
Latimeria,2832
Xiphactinus,2829
Platanus,2827
Mammuthus Primigenius,2826
Echinoidea,2826
Lystrosaurus,2824
Dilophosaurus,2823
Chert,2823
Isotelus,2822
Sandstone,2818
Favosites,2815
Chalk,2815
Batoidea,2814
Pentremites,2813
Lingula,2812
Megacerops,2811
Eldredgeops,2811
Patagotitan,2803
Dunkleosteus,2803
Acer,2802
Glycymeris,2801
Crocodilia,2801
Tiktaalik,2800
Coqina,2800
Rhombopora,2799
Equus,2797
Ginkgo,2796
Archaeopteryx,2792
Juresania,2791
Brachiosaurus,2791
Acanthostega,2791
Pecopteris,2790
Lepidodendron,2789
Diplodocus,2788
Ankylosaurus,2781
Maiasaura,2777
Mosasauridae,2773
Archimedes,2770
Ichthyornis,2765
Shale,2763
Knightia,2761
Plesiosauria,2756
Metasequoia,2756
Ichthyosauria,2750
Testudines,2741
Otodus,2732
Basilosaurus,2723
Mammut,2679
Bothriolepis,2640
Homo Sapiens,1589
Homo Sapien,1163
