username#discrim,current streak,max streak
hyeritea#0,84,1726
_orca_.#0,49,114
mling23#0,40,112
Amiable Jaekelopterus#6289,29,87
angelaho#0,26,55
harika_nse#0,23,141
unguyen8#2489,21,29
jireffe#0,21,66
jeaniebeanie07#0,20,20
.geometrydash#0,20,48
tyrrellite#0,20,190
ansere#0,19,173
umbriel5848#0,18,113
flex.tape#0,18,20
hoatzinjy#0,18,51
crunchyxsoup#0,17,75
petridish_#0,16,109
podicipede#2688,16,33
Medha#7912,15,49
alpacan_chicken#0,15,15
youraveragejoe6769#0,15,15
fourslices#0,15,28
yunhuaa#0,14,30
ck123#0,14,126
Deleted User 3317b7ec#6507,14,30
logantokle#0,13,55
obitorial#0,13,186
twig_8#0,12,95
xchirality#0,12,33
Aaronk-47#2884,11,24
zelario12#0,11,24
borger3#0,10,46
azhang941#0,10,50
knabby#0,10,43
79797979797979797979797979797979#0,10,21
thehappyface#0,9,10
ellenimationz#0,9,87
mush.room.#0,9,17
mikasasimp#0,9,96
avdestroyer#0,9,45
ohneelie#0,8,12
kaeotica#0,8,45
icteridae#1908,8,8
kreesant#0,8,12
ntjn#0,8,17
brightknight2957#0,8,17
cellytr#0,8,18
icecrystal24#0,7,99
ella5102#5648,7,7
pooperspizzaz#0413,7,79
oriana#3144,7,31
joelhascooties#0,7,43
aquadolphin88#0,7,35
archedbug#0,7,7
sombode#0,7,11
mikumagic#0,7,7
Callan#1828,6,31
mango1852#0,6,101
mindy#0359,6,149
erin0227#0,6,24
orfrigatebird#0,6,6
quarantuan#3137,6,17
bc_10#0,6,11
elito7023#0,6,40
lettucelee#0,6,6
koreankimbapkim#0,6,20
a_hobbit#0,6,37
eeeemma#0,5,23
dreaded labrador#5824,5,18
CassieW#1229,5,14
gcl12#0,5,56
theepicbebster#0,5,48
adnilem.#0,5,60
Iviti#6704,5,8
axolotl#5248,5,32
shrek#4878,5,23
claiiirrreee#0,5,29
orivialiu#0,5,498
babaganoush47#0,5,62
scottmaurer#0,5,21
Spinosaurus aegyptiacus#8212,5,14
strikingtsunami27#0,4,12
emliuu#1157,4,31
jackie.jc.c#3237,4,19
christopherou#0,4,28
1hi2#0,4,49
mfarnell#4252,4,5
acballer123#2018,4,13
krispy.kale#1947,4,4
Lazy Cisticola#0157,4,4
yeethappymeta#0,4,18
yakomoz#0,4,40
whalesc#0,4,10
nosleepstillweak#0,4,72
Deleted User d7d1d30a#6077,4,31
mickyyyyy#0,4,11
APetalMyLove#9105,4,7
felixzhan#0,4,20
qisa#0,4,4
loadingdotdotdot#0,4,24
reverse7326#0,4,12
ametrine3660#0,3,4
naina#6548,3,12
singapuli#0,3,7
grantlilyj#3011,3,7
elizabethg#0,3,12
avocadoplantss#0,3,16
flowercity#0,3,26
dead_fish1#0,3,18
OP#2261,3,25
plumeriatheflower#0,3,7
slushhee#0,3,3
sealimiso#0,3,8
organphailure#0,3,3
morosaur#0,3,66
jhu123#0,3,32
swabbybobby#0,3,24
Scrunjo#4734,3,9
jerm_the_worm#0,3,20
purple evil goose#2302,3,11
_tunac#0,3,3
jlam999#0,3,34
Deleted User 5b281303#3526,2,7
Deleted User 4affca43#8568,2,2
amy7426#0,2,21
erika#7648,2,4
sunnypn#4828,2,3
anageek#8167,2,24
_roytoy#0,2,21
brent_n#0,2,2
charliethebunny#0,2,13
chellison#0,2,2
Rithhvik#9325,2,68
afnxne#0,2,9
Nik#5017,2,8
irinaolisha#0,2,12
me is alive#0556,2,4
babytofu#9030,2,4
childreninmycloset#0,2,2
thegroundsloth#0,2,18
vlad_theinhaler#0,2,8
adich68#0,2,2
dankanom#0,2,2
_harrrry#0,2,8
ann •~•#9704,2,26
aimer8317#0,2,37
scuffedyt#0,2,13
_notanoob#0,2,17
theawesome.#0,2,3
Deleted User 688563e4#0893,2,12
lowskilledimmigrant#0,2,80
sparkemx#0,2,22
nylonn#0,2,9
alex3.14#0,2,5
returntomonke06#0,2,3
julietttttt#0,2,2
grape00#0,2,2
no.cloak#1010,2,10
Farhaan Ahmed#8114,2,10
titanos77#0,2,2
penguintron69#0,2,2
mashed_potato_cat#0,2,2
nebu1a1#0,2,60
astroboss#0,2,8
h.mmm#0,2,21
precambriansoup#0,2,6
levelhit#0,2,29
ha! koshu#5571,2,31
firecheeser#0,2,5
leminspector#0,2,8
securecompartmentalizedinfo#0,1,2
notapoisonoussnake#0,1,8
arc7142#0,1,1
MashedPotato#7465,1,12
andrrrew#0,1,2
emmah13#0,1,1
Deleted User fabcb0bc#9427,1,3
viv5_11#0,1,7
ajg1234#5518,1,4
claudialal#0,1,10
Ajool#7812,1,1
sosodapro#0,1,2
radfelis_catus#0,1,9
trisha9844#0,1,17
snowyowl3425#0,1,3
mr fwog#9294,1,1
zhay_rang#0,1,5
